"Attention","Meditation","Delta","Theta","lowAlpha","highAlpha","lowBeta","highBeta","lowGamma","highGamma"
48,27,1346251,185467,9611,9802,4625,23514,16721,15751
44,30,1450834,207647,45620,15597,19009,21055,36951,31487
53,40,210914,12407,8426,5194,4179,3937,1142,2998
54,57,2297,3534,4839,996,2702,1924,3019,1086
63,81,1471,1379,4141,2014,2549,2191,2993,2458
69,97,7423,4617,10175,422,2295,1993,1484,2607
70,100,1982,3086,1414,3671,1849,1685,1942,1119
78,97,4142,2672,2154,2071,1317,2898,2557,3225
90,83,2757,3600,2129,1117,4296,6706,2468,1618
100,80,2375,2206,2828,7095,2779,6401,4397,3728
100,60,8735,7577,2428,1501,6903,5321,1899,1127
100,60,1057,3197,1515,680,4312,2988,9059,7468
93,48,13010,4933,1683,709,2500,2122,873,1849
91,51,3670,9149,2237,4435,3174,3305,2665,1638
83,70,3525,1704,5193,9956,3825,3379,3144,3411
78,77,3434,8339,6225,985,5314,5395,5336,3895
77,84,14116,8678,3573,6474,4381,4239,3833,2011
74,87,1398661,58955,19486,27220,19991,14524,6805,5754
60,74,176498,63080,16496,14371,9010,3977,4865,3500
41,69,590186,95102,5187,26517,9147,6313,10537,10022
29,69,810793,112377,59559,11761,6919,12426,5363,6086
17,60,296091,487341,12667,107452,58372,25718,68375,39219
30,61,247533,71530,23579,20829,27183,22005,25543,16378
23,60,646196,471610,123324,128516,38368,23012,61678,29252
16,51,746978,652907,86331,4535,8885,17530,29548,15123
37,63,1747,2974,3491,3093,1843,3430,4947,5520
48,56,8088,4080,1433,1676,8981,4121,1603,3047
66,48,2177056,34768,6771,5526,16200,9435,5481,3789
84,54,872927,86207,12819,21075,39010,20413,7349,5449
80,48,177473,18801,8445,3876,7939,6741,4597,1445
56,53,358218,121874,41533,2068,14115,8077,13562,11870
48,50,46939,43034,4490,3471,2110,4286,4502,3035
34,57,56422,44856,16324,12493,3733,2809,3582,6085
16,60,138330,165285,70626,10335,20399,9785,15128,6610
24,67,337605,141630,43468,70678,7783,27509,33615,13632
20,70,161348,373162,46246,66780,64045,26648,23301,53551
30,66,678548,70898,31091,34292,82059,16412,29207,16259
23,63,338223,125038,14588,24856,3795,2620,3530,2582
14,51,109548,225381,36669,9882,4065,12882,11624,3432
26,48,216837,207863,46989,5777,37735,45237,29789,31580
27,43,2578179,296921,34329,50823,19839,54347,29991,24910
50,43,146651,28352,4319,5084,4989,6345,4660,3170
64,53,705537,60777,35886,9535,4615,18988,6748,4419
53,60,608886,92252,26912,11772,8850,6805,6620,10004
29,50,126067,293676,6397,20766,12331,4393,6880,6604
35,50,2535843,18015,1537,5167,5548,6629,13643,8483
37,47,3050361,90025,29873,32179,32487,26667,11651,7643
41,50,906224,255121,10200,27077,33604,7585,13973,9253
30,54,647643,87332,31217,16693,15840,12166,9101,13611
38,50,99578,17915,2188,1914,2281,2822,1335,3044
37,38,60006,62121,3520,9272,19172,13211,19277,5441
54,44,73678,14975,2799,3858,11760,3836,7562,3623
40,47,306546,176724,43593,48351,3374,4992,26022,15586
30,57,1359346,440444,188784,154804,36747,43814,38015,25025
29,74,47627,2099,1027,1529,1339,657,736,797
23,80,688962,65171,29589,5463,8044,7732,2919,2000
50,74,9500,5265,799,1587,1198,2284,4396,3214
50,56,1439050,433945,12582,44335,18213,26832,21718,21325
41,41,2896280,199491,17079,12645,34735,11875,11881,21493
51,35,27473,15867,3401,2139,3001,4823,3084,2765
43,35,78553,19519,2940,3861,3254,3277,4219,2598
64,51,2541,1895,2201,2023,1174,3261,2725,1473
91,63,7439,4069,2838,2882,2522,8212,3849,2963
88,77,1574747,153096,179745,42061,44258,53454,40291,41268
81,81,373273,68068,25232,7641,3582,6996,6787,4234
80,75,14239,5767,2827,1548,2078,3950,2205,2088
47,84,14161,19277,19530,14983,14361,1691,2778,4835
35,70,292811,41401,8831,1740,6705,2096,5847,2359
37,50,126635,56974,2120,1534,4455,4414,2073,1945
37,56,2047,3151,2511,5006,3256,4538,2736,1489
69,43,2843,3325,819,1914,732,6468,1177,3898
84,38,75832,9485,1999,298,5250,2416,3097,1909
90,57,177630,19327,7858,7040,12564,4387,4329,5218
91,50,3190,4199,2233,2081,4789,4759,6298,5228
60,44,52109,29888,1421,3222,4033,1371,4821,3157
54,63,188545,12962,6973,13320,6518,4212,4508,3417
67,64,410,3688,2801,2824,1291,4909,3838,4534
74,61,746201,18541,9428,5177,17183,30662,24921,22123
84,67,123752,63324,22563,3234,8448,11319,2644,5421
97,60,3009,5564,1888,2417,3458,4283,1360,4634
93,53,270878,98006,21384,25090,48086,44442,38616,10918
74,54,44978,5520,1545,1074,3989,951,2233,1102
77,41,1895810,205336,9935,11263,35166,37316,16187,18896
70,41,157005,22068,7912,7328,5000,10522,3189,4957
78,38,995176,36695,3900,11203,25911,29287,21995,9102
75,50,3453,13274,4664,10717,1806,2392,7405,4301
70,56,92171,58419,6826,4799,7332,8564,4421,3085
56,40,242595,65780,2892,1876,2451,3981,3632,4117
40,43,1419215,282990,52366,16491,33925,32891,35205,24071
47,23,1867335,241414,27933,9565,38982,49757,19788,41283
